Tracking.ID,Analytical.Sample.ID,DATETIME,FAME.Lipids.AF,Protein.AF,Carbohydrates.AF,Temp (C),pH,Depth.cm,Duration.days,ExperimentID,SiteID,StrainID,SourceID,BatchID,PondID,time (d)
1607,GT_042215_3,4/22/2015 8:00,26.83,3.41,4.99,27.2,8.06,6.25,2,MAR122015,GT,LRB-AZ-1201,Crashed 1201_04202015_Pond 3,Crashed 1201_04202015_Pond,P3,7.9375
1605,GT_042215_1,4/22/2015 8:00,26.93,3.41,5.04,27.4,8.2,6.25,2,MAR122015,GT,LRB-AZ-1201,Crashed 1201_04202015_Pond 1,Crashed 1201_04202015_Pond,P1,7.9375
1606,GT_042215_2,4/22/2015 8:00,26.95,3.45,5.07,27.7,7.51,6.25,2,MAR122015,GT,LRB-AZ-1201,Crashed 1201_04202015_Pond 2,Crashed 1201_04202015_Pond,P2,7.9375
1712,FAPond5_03182015,3/18/2015 8:00,26.96,3.45,5.1,28.1,7.58,6.25,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P5,8.583333333
1710,FAPond3_03182015,3/18/2015 8:00,26.98,3.47,5.1,28.2,7.65,6.25,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P3,8.635416667
1709,FAPond2_03182015,3/18/2015 8:00,26.98,3.48,5.1,28.4,7.67,12.5,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P2,8.635416667
1711,FAPond4_03182015,3/18/2015 8:00,27.06,3.49,5.16,28.7,7.72,12.5,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P4,8.635416667
1708,FAPond1_03182015,3/18/2015 8:00,27.09,3.51,5.19,29,7.73,12.5,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P1,8.635416667
1713,FAPond6_03182015,3/18/2015 8:00,27.16,3.52,5.21,29.3,7.73,18.75,4.65,MAR122015,FA,LRB-AZ-1201,LRB_03132015_Pooled,LRB_03132015_Pond,P6,8.635416667
2132,FAPond1_05132015,5/13/2015 8:00,27.2,3.55,5.22,29.5,7.35,18.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NO3,KA32_05082015_FA Pond_NO3,P1,8.635416667
2136,FAPond5_05132015,5/13/2015 8:00,27.21,3.56,5.22,29.9,7.33,18.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NO3,KA32_05082015_FA Pond_NO3,P5,8.666666667
2133,FAPond2_05132015,5/13/2015 8:00,27.29,3.56,5.26,30.1,7.36,18.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NH3,KA32_05082015_FA Pond_NH3,P2,8.666666667
2135,FAPond4_05132015,5/13/2015 8:00,27.32,3.58,5.27,30.6,7.67,18.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NH3,KA32_05082015_FA Pond_NH3,P4,8.666666667
2137,FAPond6_05132015,5/13/2015 8:00,27.38,3.58,5.27,30.9,7.76,18.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NH3,KA32_05082015_FA Pond_NH3,P6,8.666666667
2134,FAPond3_05132015,5/13/2015 8:00,27.39,3.59,5.27,31.3,7.83,21.75,4.75,MAY052015,FA,KA32,KA32_05082015_FA Pooled_NO3,KA32_05082015_FA Pond_NO3,P3,8.666666667
1099,ASU_SPW10_07302014,7/30/2014 7:44,27.4,3.59,5.28,31.6,7.88,21.75,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P2,8.666666667
1102,ASU_SPW13_07302014,7/30/2014 7:44,27.58,3.67,5.29,31.9,7.94,21.75,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P5,8.729166667
1100,ASU_SPW11_07302014,7/30/2014 7:44,27.68,3.68,5.31,31.9,7.99,21.75,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P3,8.729166667
1101,ASU_SPW12_07302014,7/30/2014 7:44,27.69,3.72,5.35,32.2,7.85,21.75,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P4,8.729166667
1103,ASU_SPW14_07302014,7/30/2014 7:44,27.71,3.73,5.38,32.1,7.89,22,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P6,8.885416667
1104,ASU_SPW9_07302014,7/30/2014 7:44,27.75,3.73,5.39,32.4,7.96,22,4.83,JUL252014,ASU,LRB-AZ-1201,1201_07152014_CRW,1201_07252014_SPW,P1,8.885416667
1056,1201_08132014_GT_1,8/13/2014 7:30,27.76,3.73,5.4,32.6,7.84,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P1,8.885416667
1059,1201_08132014_GT_4,8/13/2014 7:30,27.84,3.75,5.45,32.8,7.88,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P4,8.885416667
1058,1201_08132014_GT_3,8/13/2014 7:30,27.85,3.8,5.46,32.9,7.92,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P3,8.885416667
1057,1201_08132014_GT_2,8/13/2014 7:30,27.88,3.8,5.48,33,7.81,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P2,8.885416667
1061,1201_08132014_GT_6,8/13/2014 7:30,27.9,3.82,5.49,33,7.86,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P6,8.895833333
1060,1201_08132014_GT_5,8/13/2014 7:30,27.91,3.85,5.51,32.9,7.91,22,4.9,JUL252014,GT,LRB-AZ-1201,1201_08082014_GT_CRW,1201_08082014_GT_P,P5,8.895833333
122,Cell_5_102813_D7,10/28/2013 14:00,27.99,3.9,5.53,32.8,7.96,22,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P5,8.895833333
123,Cell_6_102813_D7,10/28/2013 14:00,28.02,3.91,5.58,32.7,8.02,22,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P6,8.895833333
120,Cell_2_102813_D7,10/28/2013 14:00,28.13,3.92,5.59,32.5,7.41,22,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P2,8.895833333
119,Cell_1_102813_D7,10/28/2013 14:00,28.16,3.93,5.61,32.2,7.52,22,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P1,8.895833333
121,Cell_4_102813_D7,10/28/2013 14:00,28.16,3.94,5.63,32,7.62,22.25,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P4,9.635416667
124,Cell_3_102813_D7,10/28/2013 14:00,28.22,3.94,5.66,31.7,7.7,22.25,4.94,OCT172013,CELL,KA32,KA32_Panels1,KA32_10232013_Ponds,P3,9.635416667
2026,ASU_C046SPW9_06222015,6/22/2015 15:14,28.23,3.99,5.66,31.5,7.77,22.25,5.2,JUN172015,ASU,C046,C046_06172015_CRW,C046_06172015_SPW,P1,9.635416667
2027,ASU_C046SPW10_06222015,6/22/2015 15:14,28.36,4.05,5.67,31.2,7.83,22.25,5.2,JUN172015,ASU,C046,C046_06172015_CRW,C046_06172015_SPW,P2,9.6875
2028,ASU_C046SPW12_06222015,6/22/2015 15:14,28.38,4.06,5.7,30.9,7.89,22.25,5.2,JUN172015,ASU,C046,C046_06172015_CRW,C046_06172015_SPW,P3,9.6875
2029,ASU_C046SPW17_06222015,6/22/2015 15:14,28.39,4.08,5.72,30.5,7.93,22.25,5.2,JUN172015,ASU,C046,C046_06172015_CRW,C046_06172015_SPW,P4,9.6875
2031,ASU_C046SPW19_06222015,6/22/2015 15:14,28.39,4.12,5.73,30.2,7.97,22.4,5.2,JUN172015,ASU,C046,C046_06172015_CRW,C046_06172015_SPW,P6,9.739583333
